seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ONLY_SECANT_LineSearchIter,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_Primal,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_SmallestDualGap,LS_SECANT_WITH_BACKTRACKING_Iterations,LS_SECANT_WITH_BACKTRACKING_LineSearchIter,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_ADAPTIVE_LineSearchIter,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_Primal,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_SmallestDualGap,LS_BACKTRACKING_AND_SECANT_Iterations,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_Primal,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_AND_SECANT_Iterations,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_Primal,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_ZERO_AND_SECANT_Iterations,LS_SECANT_3_Time,LS_SECANT_3_Primal,LS_SECANT_3_DualGap,LS_SECANT_3_SmallestDualGap,LS_SECANT_3_Iterations,LS_SECANT_3_LineSearchIter,LS_SECANT_5_Time,LS_SECANT_5_Primal,LS_SECANT_5_DualGap,LS_SECANT_5_SmallestDualGap,LS_SECANT_5_Iterations,LS_SECANT_5_LineSearchIter,LS_SECANT_7_Time,LS_SECANT_7_Primal,LS_SECANT_7_DualGap,LS_SECANT_7_SmallestDualGap,LS_SECANT_7_Iterations,LS_SECANT_7_LineSearchIter,LS_SECANT_12_Time,LS_SECANT_12_Primal,LS_SECANT_12_DualGap,LS_SECANT_12_SmallestDualGap,LS_SECANT_12_Iterations,LS_SECANT_12_LineSearchIter,minimumTime
1,1500,15.234219347,17.03823304802384,2.240117510932116e-8,1.43971375099472e-8,22,0.9090909090909092,15.321840246,17.03823304802384,2.240117510932116e-8,1.43971375099472e-8,22,0.9090909090909092,19.117836689,17.038233048023756,7.848339864113818e-8,6.272415459251945e-8,32,0.15625,26.377667788,17.038233048023827,5.6061293496334486e-8,4.0191270866962725e-8,22,29.706048825,17.038233048023756,7.848339864113818e-8,6.272415459251945e-8,32,17.525737405,17.038233048023788,1.3678059918031948e-7,8.5372267255579e-8,24,17.593846733,17.03823304802384,2.240117510932116e-8,1.43971375099472e-8,22,0.9090909090909092,16.849897027,17.03823304802384,2.240117510932116e-8,1.43971375099472e-8,22,0.9090909090909092,17.963658414,17.03823304802384,2.240117510932116e-8,1.43971375099472e-8,22,0.9090909090909092,18.58056015,17.03823304802384,2.240117510932116e-8,1.43971375099472e-8,22,0.9090909090909092,15.234219347
2,1500,18.265647443,16.484786983443254,2.646812169437851e-8,7.120234185586938e-8,26,0.9615384615384617,22.025604501,16.484786983443254,2.646812169437851e-8,7.120234185586938e-8,26,0.9615384615384617,11.737878812,16.484786983443264,2.4844034524074132e-8,9.324932512266848e-8,29,0.13793103448275862,25.75367611,16.48478698344325,4.7947976367090916e-8,4.066817205217177e-8,26,28.997546168,16.484786983443264,2.4844034524074132e-8,9.324932512266848e-8,29,17.665465302,16.484786983443357,1.1343426994936401e-7,9.626024183306825e-8,27,14.481573823,16.484786983443254,2.646812169437851e-8,7.120234185586938e-8,26,0.9615384615384617,13.805467989,16.484786983443254,2.646812169437851e-8,7.120234185586938e-8,26,0.9615384615384617,13.913716247,16.484786983443254,2.646812169437851e-8,7.120234185586938e-8,26,0.9615384615384617,15.937571039,16.484786983443254,2.646812169437851e-8,7.120234185586938e-8,26,0.9615384615384617,11.737878812
3,1500,15.417929789,17.52787758655766,9.189037614154572e-9,9.015133262124664e-8,26,0.9615384615384617,16.225842189,17.52787758655766,9.189037614154572e-9,9.015133262124664e-8,26,0.9615384615384617,13.111182621,17.52787758655774,4.908993836427733e-8,9.77416374503548e-8,37,0.16216216216216217,25.761904031,17.527877586557643,7.944573665596977e-9,9.345610713085151e-8,26,26.381851532,17.52787758655774,4.908993836427733e-8,9.77416374503548e-8,37,17.085768258,17.52787758655767,6.430605561935643e-8,6.430605561935643e-8,30,20.453755365,17.52787758655766,9.189037614154572e-9,9.015133262124664e-8,26,0.9615384615384617,16.557603744,17.52787758655766,9.189037614154572e-9,9.015133262124664e-8,26,0.9615384615384617,14.557573662,17.52787758655766,9.189037614154572e-9,9.015133262124664e-8,26,0.9615384615384617,13.853561046,17.52787758655766,9.189037614154572e-9,9.015133262124664e-8,26,0.9615384615384617,13.111182621
4,1500,8.621963707,16.648826387593076,1.6351717949114608e-7,7.037877375326573e-8,11,0.9090909090909092,6.241519827,16.648826387593076,1.6351717949114608e-7,7.037877375326573e-8,11,0.9090909090909092,9.357707865,16.648826387591768,4.1243461396112124e-8,7.283716660366757e-8,20,0.15,14.349567362,16.64882638759171,8.796497585894514e-9,8.796497585894514e-9,14,21.813766077,16.648826387591768,4.1243461396112124e-8,7.283716660366757e-8,20,8.153412616,16.648826387594756,6.357662621359061e-8,8.963437059250623e-8,13,9.86962683,16.648826387593076,1.6351717949114608e-7,7.037877375326573e-8,11,0.9090909090909092,5.981886479,16.648826387593076,1.6351717949114608e-7,7.037877375326573e-8,11,0.9090909090909092,7.80948611,16.648826387593076,1.6351717949114608e-7,7.037877375326573e-8,11,0.9090909090909092,8.153530975,16.648826387593076,1.6351717949114608e-7,7.037877375326573e-8,11,0.9090909090909092,5.981886479
5,1500,11.361815078,17.165152664667136,7.957493361465673e-8,7.040819313686164e-8,19,0.9473684210526314,11.125468583,17.165152664667136,7.957493361465673e-8,7.040819313686164e-8,19,0.9473684210526314,10.017677207,17.16515266466712,4.468902478627079e-8,9.47498137171543e-8,25,0.16,19.266017747,17.165152664667087,1.9409654022917167e-8,4.195873032353248e-8,19,22.045877774,17.16515266466712,4.468902478627079e-8,9.47498137171543e-8,25,11.513277368,17.16515266466709,4.233511133322487e-8,6.313060268992032e-8,18,9.821792885,17.165152664667136,7.957493361465673e-8,7.040819313686164e-8,19,0.9473684210526314,10.377463923,17.165152664667136,7.957493361465673e-8,7.040819313686164e-8,19,0.9473684210526314,10.305635455,17.165152664667136,7.957493361465673e-8,7.040819313686164e-8,19,0.9473684210526314,14.141621597,17.165152664667136,7.957493361465673e-8,7.040819313686164e-8,19,0.9473684210526314,9.821792885
1,2000,13.550896884,20.366779129379438,3.858124020261755e-8,3.8942103014472096e-8,11,0.9090909090909092,14.110966411,20.366779129379438,3.858124020261755e-8,3.8942103014472096e-8,11,0.9090909090909092,14.840290763,20.36677912937941,3.402253276330036e-8,6.874612867857621e-8,18,0.16666666666666666,19.062859477,20.366779129379438,3.8581240230373126e-8,3.8942103014472096e-8,11,20.384159176,20.36677912937941,3.402253276330036e-8,6.874612867857621e-8,18,16.37890016,20.366779129379495,6.728372814457373e-8,7.390696749043357e-8,15,11.498920099,20.366779129379438,3.858124020261755e-8,3.8942103014472096e-8,11,0.9090909090909092,11.30136,20.366779129379438,3.858124020261755e-8,3.8942103014472096e-8,11,0.9090909090909092,10.782972699,20.366779129379438,3.858124020261755e-8,3.8942103014472096e-8,11,0.9090909090909092,12.258693824,20.366779129379438,3.858124020261755e-8,3.8942103014472096e-8,11,0.9090909090909092,10.782972699
2,2000,12.534426039,19.139549450654048,3.939741756442405e-8,4.635490080673321e-8,14,0.9285714285714284,8.354427877,19.139549450654048,3.939741756442405e-8,4.635490080673321e-8,14,0.9285714285714284,5.872230241,19.139549450653625,1.5706120236325116e-7,2.3080978961420584e-8,11,0.18181818181818182,18.106867499,19.139549450653746,3.46819767904627e-8,2.8787685069087132e-8,14,11.426433753,19.139549450653625,1.5706120236325116e-7,2.3080978961420584e-8,11,9.774365978,19.13954945065293,1.8737344970043424e-7,4.633989338087563e-8,10,11.538500927,19.139549450654048,3.939741756442405e-8,4.635490080673321e-8,14,0.9285714285714284,10.622488202,19.139549450654048,3.939741756442405e-8,4.635490080673321e-8,14,0.9285714285714284,10.434465814,19.139549450654048,3.939741756442405e-8,4.635490080673321e-8,14,0.9285714285714284,13.326377246,19.139549450654048,3.939741756442405e-8,4.635490080673321e-8,14,0.9285714285714284,5.872230241
3,2000,16.574986206,19.797565027444012,2.2650673586754877e-8,6.675714638026964e-8,20,0.9500000000000002,12.706408641,19.797565027444012,2.2650673586754877e-8,6.675714638026964e-8,20,0.9500000000000002,18.658538774,19.797565027444037,6.292041720978858e-8,8.164959723611087e-8,27,0.14814814814814814,24.350519548,19.797565027444058,8.029967975275998e-8,8.029967975275998e-8,20,21.149125271,19.797565027444037,6.292041720978858e-8,8.164959723611087e-8,27,19.586586487,19.79756502744397,3.4610890972675e-8,7.420154900239506e-8,23,13.526728112,19.797565027444012,2.2650673586754877e-8,6.675714638026964e-8,20,0.9500000000000002,15.754899216,19.797565027444012,2.2650673586754877e-8,6.675714638026964e-8,20,0.9500000000000002,13.982842548,19.797565027444012,2.2650673586754877e-8,6.675714638026964e-8,20,0.9500000000000002,11.050315423,19.797565027444012,2.2650673586754877e-8,6.675714638026964e-8,20,0.9500000000000002,11.050315423
4,2000,18.490772804,19.610083120526184,8.970322278034626e-8,4.684562350532051e-8,21,0.9523809523809526,14.310149459,19.610083120526184,8.970322278034626e-8,4.684562350532051e-8,21,0.9523809523809526,12.959913342,19.610083120525587,6.916387933209034e-8,8.031477581604829e-8,24,0.16666666666666666,27.5695925,19.61008312052618,8.970322278034626e-8,4.6845623533076086e-8,21,23.634279305,19.610083120525587,6.916387933209034e-8,8.031477581604829e-8,24,18.146438395,19.61008312052581,6.658014292670877e-8,6.81622655124281e-8,18,15.310889115,19.610083120526184,8.970322278034626e-8,4.684562350532051e-8,21,0.9523809523809526,17.846866326,19.610083120526184,8.970322278034626e-8,4.684562350532051e-8,21,0.9523809523809526,13.76238255,19.610083120526184,8.970322278034626e-8,4.684562350532051e-8,21,0.9523809523809526,17.638497603,19.610083120526184,8.970322278034626e-8,4.684562350532051e-8,21,0.9523809523809526,12.959913342
5,2000,19.398897165,19.24733816640955,1.4899730185757853e-8,7.284933131734839e-8,20,0.9500000000000002,11.094281798,19.24733816640955,1.4899730185757853e-8,7.284933131734839e-8,20,0.9500000000000002,12.782435363,19.24733816640944,2.2463307242093222e-8,2.2463307242093222e-8,24,0.13043478260869565,28.082614303,19.247338166409524,1.8624485079166142e-8,1.8624485079166142e-8,22,20.766545472,19.24733816640944,2.2463307242093222e-8,2.2463307242093222e-8,24,19.070465993,19.247338166409516,4.902984521160114e-8,4.056877517255586e-8,19,16.358846944,19.24733816640955,1.4899730185757853e-8,7.284933131734839e-8,20,0.9500000000000002,14.866756045,19.24733816640955,1.4899730185757853e-8,7.284933131734839e-8,20,0.9500000000000002,16.742423291,19.24733816640955,1.4899730185757853e-8,7.284933131734839e-8,20,0.9500000000000002,13.1623848,19.24733816640955,1.4899730185757853e-8,7.284933131734839e-8,20,0.9500000000000002,11.094281798
