seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_Primal,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_SmallestDualGap,LS_BACKTRACKING_AND_SECANT_Iterations,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_Primal,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_AND_SECANT_Iterations,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_Primal,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_ZERO_AND_SECANT_Iterations,LS_SECANT_3_Time,LS_SECANT_3_Primal,LS_SECANT_3_DualGap,LS_SECANT_3_SmallestDualGap,LS_SECANT_3_Iterations,LS_SECANT_5_Time,LS_SECANT_5_Primal,LS_SECANT_5_DualGap,LS_SECANT_5_SmallestDualGap,LS_SECANT_5_Iterations,LS_SECANT_7_Time,LS_SECANT_7_Primal,LS_SECANT_7_DualGap,LS_SECANT_7_SmallestDualGap,LS_SECANT_7_Iterations,LS_SECANT_12_Time,LS_SECANT_12_Primal,LS_SECANT_12_DualGap,LS_SECANT_12_SmallestDualGap,LS_SECANT_12_Iterations,minimumTime
1,90000,3602.900423526,5.217256230081721e-12,0.12664460861849963,0.013042076568703525,4350,3603.176493698,7.966364740549227e-12,0.1455346323678727,0.05284430222699091,4910,3602.88841704,0.056407979040605065,24806.2840532622,24806.284053392996,9011,3602.832475962,5.2066453562591316e-8,10.76514371016018,10.762275973903765,2404,3602.98439062,6.554698109802136e-12,0.13715549563065482,0.03507786578902167,3659,3607.484407597,5.138721830447774e-12,0.1280682172290579,0.0007823106546086069,3939,3602.968427297,5.3110972077384344e-12,0.12648691263529338,1.4805012630677777e-5,3839,3603.532450726,5.012490532477573e-12,0.12332414424721022,0.0014371811663038852,3822,3603.168462045,5.2084186340811754e-12,0.1278080324737068,0.0007024376781061991,3958,3602.832475962
2,90000,3601.724432878,5.251797908496333e-12,0.1305440977313725,0.00013431692534836187,4266,3601.384464629,7.580313723853102e-12,0.14550759315191,0.04321008812206644,4821,3600.66841327,0.0514861099220169,22776.568218165998,22776.568218165998,9295,3601.548493919,2.8009185477249986e-8,7.496191905442549,7.667503342604685,2402,3601.768429878,5.984189248435384e-12,0.13424815891942174,0.0256745907222359,3650,3601.14439874,5.624773717470855e-12,0.13970847545946777,4.559129393594176e-6,3916,3601.264422253,5.197948435296816e-12,0.1327731587322796,0.0011944070328184998,3850,3601.292458227,5.123311607156241e-12,0.12657914545934135,0.0010767602121579357,3869,3601.140423892,5.435647761955154e-12,0.13233437244872662,4.105341889842534e-6,3882,3600.66841327
3,90000,3601.308432124,4.541850343600064e-12,0.12820132425678207,0.08846270073189905,4058,3602.028471426,6.504783876089375e-12,0.13601566702445006,0.017986097913679226,4758,3600.548418311,0.050290744544208274,25173.5885609969,25173.58856099689,9496,3602.20848367,2.5372663612108297e-9,2.325160803847399,2.3114410634715323,2555,3601.52043226,5.890350088512814e-12,0.1333951806094528,0.0028345036168669784,3537,3601.480404816,4.847775781530905e-12,0.1301383385041802,0.00020188788580501963,3779,3601.648559609,5.038474858415005e-12,0.13568025173603301,0.0005916120587867085,3656,3601.876434176,4.896425454854559e-12,0.12944241511952786,0.0002610180054228985,3753,3601.032433045,4.761158177127009e-12,0.12765270222620717,0.00023317698646050457,3766,3600.548418311
4,90000,3600.988444208,5.1917680985044614e-12,0.12388085621792783,0.0001064952212397031,4399,3601.728470574,8.022058791617859e-12,0.14713390224090872,0.05926169471346272,4879,3600.652387125,0.05904149188828588,25301.84149417537,25301.841494175373,9023,3601.744382013,3.5390273986855355e-8,8.72569278584751,8.723300273531306,2567,3602.324424954,7.013533884284622e-12,0.1456919868216038,0.04439016237054162,3661,3601.324405688,5.1033352941590015e-12,0.12976783838667472,0.0006747669590174384,4013,3601.984446909,5.4264043525207365e-12,0.13560868315088748,2.4331563959241016e-5,3863,3601.752440512,5.45824999309504e-12,0.13014400527438608,0.0006498894043582084,4008,3601.52444419,1.3084466591882429e-11,0.89403435860794,1.1380931492510566,4001,3600.652387125
5,90000,3601.084413549,4.793834962445596e-12,0.12697308327407977,0.0749583990123822,4099,3602.024445626,7.058030438913724e-12,0.15049501258695103,0.03213662381606551,4833,3600.604388209,0.05543226191848023,26623.13531686948,26623.135316869477,9539,3601.704483597,6.219843311334842e-9,3.6267122529194933,3.621028466169936,2596,3601.412413294,5.995570150548792e-12,0.1306279990256982,0.01933519974692481,3618,3602.132432298,5.347078721351385e-12,0.1561455266481039,0.0005743915705041164,3916,3601.996447682,5.384510894095818e-12,0.1660672184454949,1.5285029095202003e-6,3747,3601.176472465,5.318153597124895e-12,0.12845974045109124,0.0005990861120912805,3901,3601.592509381,5.064193004490376e-12,0.12961492648332473,0.0005131383725708225,3925,3600.604388209
1,160000,3603.100463501,6.689292276602798e-12,0.12585151921917107,0.1164345796109586,4099,3603.112480412,2.8617498125293343e-10,0.6604938785134962,0.6602932477017908,4546,3602.384432741,0.04316894139602059,20851.729819809698,20851.72981980971,3543,3603.580480983,1.954110473946212e-8,5.736686038277959,5.736656715440244,3116,3603.220431258,8.533136880486844e-11,0.3735168838101461,0.37349679228699095,3738,3606.116431541,7.487259335555025e-12,0.12795825130460828,0.022522435677916976,3805,3603.556467282,7.498198624277328e-12,0.12675589001324952,0.024500491892890917,3765,3603.088434445,7.627182332992752e-12,0.12772964954085161,0.02974817249452466,3710,3603.072423898,7.491442706536623e-12,0.12744546221084366,0.021061511494897604,3822,3602.384432741
2,160000,3601.972429188,6.989629107012449e-12,0.12939479441077498,0.006754970661588825,4042,3601.48045306,4.948956040086535e-10,0.8889884656837395,0.8866721685179864,4532,3601.208429895,0.06109010573017994,23743.658265172096,23743.65826489969,3500,3601.570984138,3.8226479120740277e-8,8.187674152046462,8.09575964794678,3050,3601.684439314,1.0525484260292904e-10,0.42393382528139983,0.4209707841856327,3741,3601.352400957,7.0434262866817914e-12,0.13217085002576168,0.013213486974787962,3795,3602.368450466,7.138025719677222e-12,0.13240426111839168,0.019746696817300582,3688,3601.760457818,7.114520302483448e-12,0.1300846370846227,0.016252918753335552,3766,3601.512448352,7.363771267383572e-12,0.15212520933983883,0.013822638784844792,3829,3601.208429895
3,160000,3601.748445552,7.587658068397524e-12,0.14611199051570042,0.02154313773656792,4148,3601.932445708,9.981383111366888e-10,1.2192386898804268,1.2567441404157338,4526,3602.340407389,0.058803411471354164,22551.76828240936,22551.76828240938,3492,3601.620466508,5.167099245079301e-8,9.087605754163185,9.416908807757448,3111,3601.140409007,2.6340491400078197e-10,0.6546186357381226,0.6540590366264526,3776,3601.780422787,8.646181576459787e-12,0.13889512238462953,0.046406052618885744,3846,3601.952445393,8.772706068778156e-12,0.14803122375747985,0.06003430023389955,3741,3601.924427106,8.788722823793568e-12,0.13879358716240214,0.05301447557959933,3833,3602.044416039,8.226773306603448e-12,0.1366379583076294,0.046601751378511934,3843,3601.140409007
4,160000,3601.460459923,7.087807134800286e-12,0.13828812332927584,0.01438794008253213,4211,3601.732467442,8.345092855843642e-10,1.1530961752695625,1.1198201911998737,4536,3600.916407399,0.05359612016051198,20719.30161399175,20719.30161359413,3511,3601.632430455,4.246553822278089e-8,8.10106808741002,8.112380755543693,3095,3601.758909221,2.3256777856279712e-10,0.6209496126086064,0.6364325294678479,3801,3601.280453562,8.738477457150313e-12,0.1363563472203921,0.04489892373746976,3810,3601.688431028,8.344335437235652e-12,0.13625306427771677,0.051184124965719315,3790,3601.894978512,7.92745282974959e-12,0.1322722667000272,0.03742445366225068,3838,3601.176431008,7.636757695759303e-12,0.13292812316758496,0.034129203343943454,3870,3600.916407399
5,160000,3601.792420629,7.047731672967146e-12,0.12920516192981338,0.005741384810711991,4147,3601.512504663,5.189784637180887e-10,0.9068867978650343,0.9082311611314605,4490,3601.888425644,0.05078331861721089,20960.503725826362,20960.503725499835,3518,3601.47894461,3.230921077727781e-8,7.355223985343844,7.347243448160416,3119,3602.300414753,1.1226030980998242e-10,0.43327166601007544,0.4479087018763574,3739,3601.176433025,7.316031008846756e-12,0.1464279858114645,0.015288582908679758,3801,3601.240438842,6.793918996360809e-12,0.12573822735618506,0.015622287067814456,3752,3601.336463485,7.0921233646850135e-12,0.13035202587009442,0.014374435050390438,3858,3602.000539149,7.184278049026996e-12,0.12693557505262845,0.0148894980569603,3814,3601.176433025
1,250000,3609.528305652,2.4615890791466295e-10,0.6136655594621035,0.5993616095849531,3651,3603.500483055,1.573574393172221e-8,4.491588064582901,4.497720841382324,4035,3603.524470526,0.040684306754932675,18069.688575882257,18069.688575882265,2875,3604.184530581,1.8107470321882546e-6,56.01022439394379,56.08292043101079,2221,3603.420450473,1.6338755212188556e-8,4.753517908030887,4.75319900733148,3095,3603.752426822,3.490870701347433e-10,0.7558381411952071,0.7259262255410065,3560,3602.768418388,5.480220808105431e-10,0.9365869770152223,0.915844746848898,3430,3603.412471554,5.372317050311761e-10,0.8831243309683152,0.9257948862279616,3432,3603.401702131,3.607163110165299e-10,0.7548327621317644,0.754430488385662,3548,3602.768418388
2,250000,3602.560460462,1.3577475697754888e-10,0.4454207193871407,0.4673968749708293,3651,3601.469885183,1.1117299673561356e-8,3.7608040325026337,3.75759964003254,4018,3601.892432354,0.04366213084324909,19370.63129082945,19370.631290829442,2876,3601.583941841,2.492720933304576e-6,68.140658234523,67.9528898635401,2037,3601.888331762,1.7206880139295863e-8,4.717735226415774,4.888419154431512,3032,3601.352395561,2.40611478384219e-10,0.5993612052187517,0.5994889660329733,3539,3601.94871451,3.117915445027906e-10,0.6936878852239056,0.6933867620625249,3441,3602.181904032,2.3461542110963294e-10,0.5941733985723529,0.5898843169212326,3475,3612.188454043,1.738855920655005e-10,0.5231239054129565,0.5192562788223,3557,3601.352395561
